序号,id,XQMC,FWWZ,JD,WD
1,1,湘台国际花园-南门,湖南省湘潭市岳塘区湘潭市雨湖区和平街道九华区宝马路28号(湘台国际花园),112.92831,27.912895
2,2,壶天中心小学,湖南省湘潭市岳塘区湘潭市湘乡市壶天镇,112.033347,27.86625
3,3,兴业银行ATM,湖南省湘潭市岳塘区韶山东路昌盛商务楼,112.908596,27.869362
4,4,云盘社区,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道云盘社区,112.948237,27.84775
5,5,古城中心小学,湖南省湘潭市岳塘区湘潭市湘潭县石潭镇,112.690588,27.789529
6,6,湘乡市人民医院-急诊,湖南省湘潭市岳塘区健康西路湘乡市人民医院,112.52201,27.732
7,7,长郡湘潭高新实验小学,湖南省湘潭市岳塘区湘潭市岳塘区霞城街道,112.932797,27.828459
8,8,蒸好恰,湖南省湘潭市岳塘区湘潭市岳塘区宝塔街道福星中路与双拥北路交汇处(天虹商场(湘潭店)),112.937825,27.852386
9,9,花石中学,湖南省湘潭市岳塘区湘潭市湘潭县花石镇,112.733081,27.508585
10,10,湘潭市特殊教育学校,湖南省湘潭市岳塘区吉安路4号,112.95296,27.85095
11,11,烟竹社区,湖南省湘潭市岳塘区湘潭市雨湖区广场街道,112.881546,27.864989
12,12,湘乡市人民医院-药剂科,湖南省湘潭市岳塘区健康路湘乡市人民医院门诊6楼,112.52165,27.73218
13,13,韶山市人民医院-国药堂,湖南省湘潭市岳塘区民主路7号韶山市人民医院门诊大楼3楼,112.51947,27.93027
14,14,化研小区,湖南省湘潭市岳塘区湘潭市雨湖区昭潭街道解放南路269号,112.897288,27.86311
15,15,源湘幼儿园,湖南省湘潭市岳塘区湘潭市雨湖区姜畲镇源湘幼儿园,112.85091,27.83292
16,16,英蓝湘潭幼儿园,湖南省湘潭市岳塘区湖湘南路东方红步步高旁,112.93227,27.83411
17,17,亿客源超市,湖南省湘潭市岳塘区湘潭市湘潭县花石镇新桥路48号正东方向10米,112.718303,27.511134
18,18,万家乐超市,湖南省湘潭市岳塘区白田镇白田村正北方向190米,112.40458,27.92122
19,19,喜洋洋超市,湖南省湘潭市岳塘区棋梓镇万罗山村西北方向140米,112.22067,27.72772
20,20,宜家美景小区,湖南省湘潭市岳塘区湘潭市雨湖区云塘街道车站路297号,112.90543,27.87154
21,21,易俗河镇第三中学,湖南省湘潭市岳塘区湘潭市湘潭县易俗河镇,112.91,27.75903
22,22,阳科骨科医院-手术室,湖南省湘潭市岳塘区阳科骨科医院5楼,112.83173,27.86826
23,23,湘乡中医医院-外科门诊,湖南省湘潭市岳塘区新湘路湘乡中医医院门诊大楼1楼,112.52388,27.73583
24,24,梅桥镇水潭小学,湖南省湘潭市岳塘区湘潭市湘乡市梅桥镇,112.57619,27.58451
25,25,湘潭农村商业银行,湖南省湘潭市岳塘区湘潭市雨湖区和平街道九华步步高大道6号百合御都1栋1单元,112.932748,27.901386
26,26,萝鲜生精品生活超市凳桥店,湖南省湘潭市岳塘区湘潭市岳塘区双马街道晓塘东路凳桥山庄14~16号正东方向70米,112.958,27.827507
27,27,世纪之星幼儿园,湖南省湘潭市岳塘区湘潭市湘乡市梅桥镇世纪之星幼儿园,112.5709,27.67771
28,28,金海宾馆,湖南省湘潭市岳塘区韶山东路金海民生电器商场旁边,112.919239,27.873756
29,29,吉利社区,湖南省湘潭市岳塘区湘潭市雨湖区和平街道吉利社区,112.919375,27.916453
30,30,步步高超市宝塔店,湖南省湘潭市岳塘区河东大道1062,112.9232,27.84091
31,31,金泉幼儿园,湖南省湘潭市岳塘区湘潭市湘乡市栗山镇金泉幼儿园,112.39595,27.55301
32,32,湘潭县人民医院-医技楼,湖南省湘潭市岳塘区湘潭市玉兰中路432号(湘潭县人民医院),112.944309,27.770081
